id logtype campaign_id userid
6221536810059432185 0 0 0
6221536810104389719 0 0 6187210138655850703
6221536810073588287 0 1365972 6175513529643761677
6221536810079355456 0 38648 6194312386773386200
6221536814396473501 2 1450768 6044470723081602008
6221536810108191295 0 1396020 6136505953763787734
6221536814401126557 0 0 6044470723081602008
6221536814373667391 0 1411510 6175513529643761677
6221536810109239871 0 0 6143973458806571215
6221536814358331967 0 0 6221536797173875263
6221536814361018943 0 0 6136505953763787734
6221536814372618327 0 0 6118588376709005369
6221536814404599965 0 0 6044470723081602008
6221536814375436864 2 1450786 6221117466628847635
6221536814384808512 0 0 6221117466628847635
6221536814395293819 0 352777 6208884772727161024
6221536814369145407 0 1365972 6136505953763787734
6221536814381989975 2 1450768 6118588376709005369
6221536818646089935 2 1396020 6122485136107110480
6221536818661359703 2 1396020 6041806357301100624
6221536818689015995 2 1396020 6041806357301100624
6221536818698256541 2 1396020 6122485136107110480
6221536818666078365 2 1450768 6179246676579647522
6221536818672435357 0 0 6179246676579647522
6221536818658738751 0 1411510 6026733178156286024
6221536818664833111 0 1411510 6118588376709005369
6221536818679120029 0 0 6179246676579647522
6221536818722504791 0 0 6041806357301100624
6221536818651791567 0 1450768 6221536419258040896
6221536818687508637 2 1450768 6179246676579647522
6221536818647466141 2 1450786 6221536749976223831
6221536818670796957 0 0 6221536749976223831
6221536814407680576 0 0 6221117466628847635
6221536818682266176 0 0 6221117466628847635
6221536822956130461 2 1450768 6206256128168428504
